treatments,agg_ranks,score
CLO,1,0.6490250000000001
AMI,2,0.6122333333333334
OLA,3,0.5368416666666666
RIS,4,0.41986666666666667
PAL,5,0.40835
ARI,6,0.39170833333333327
PBO,7,0.3215
QUE,8,0.29846666666666666
HAL,9,0.2675416666666667
ZOT,10,0.20495833333333327
LUR,11,0.20416666666666666
SER,12,0.19529166666666664
ASE,13,0.178225
ZIP,14,0.17318333333333333
ILO,15,0.1318666666666667
CPZ,16,0.11216666666666666
