treatments,agg_ranks,score
CLO,1,1.2945544395923978
AMI,2,1.3002899188013393
OLA,3,2.644382465421983
RIS,4,2.6762086239128395
PAL,5,3.82009513970245
ZOT,6,3.981340640419929
HAL,7,6.611970848583074
QUE,8,6.892010688047358
ARI,9,8.706959705061287
SER,10,9.601905771942514
ZIP,11,9.684773006296716
CPZ,12,10.835834925509007
ASE,13,10.928874231489505
LUR,14,11.68459547917259
ILO,15,13.56849597334103
PBO,16,13.703169171344122
