treatments,agg_ranks,score
OLA,1,1.091898043761553
AMI,2,3.50050167537902
CLO,3,3.869397702615319
PAL,4,5.0157915068939225
RIS,5,6.50222682112358
ARI,6,6.56691535646183
QUE,7,9.736010446177698
HAL,8,10.147926328720668
SER,9,11.043074255312575
ZOT,10,11.521540289782198
PBO,11,11.710720393037725
ZIP,12,12.97575583523937
ASE,13,13.185383508586456
LUR,14,13.261778103504387
ILO,15,13.817177416088214
CPZ,16,15.082625159496372
