treatments,agg_ranks,score
CLO,1,0.9765258215962447
AMI,2,0.012380676026576354
OLA,3,0.0041969506530410905
RIS,4,0.002111862728922612
PAL,5,0.001271434443953715
ZOT,6,0.0008494292981981613
HAL,7,0.0006076223743793559
QUE,8,0.0004562028786840209
ARI,9,0.00035511292904143003
SER,10,0.00028427227749073787
ZIP,11,0.00023270680103805878
CPZ,12,0.00019400516274475623
ASE,13,0.0001642170625870276
LUR,14,0.00014080043864751768
ILO,15,0.00012205913466772848
PBO,16,0.00010682619378271531
