treatments,agg_ranks,score
AMI,1,4.15625
CLO,2,3.903225806451613
OLA,3,2.450980392156863
PAL,4,1.8548387096774193
RIS,5,1.626865671641791
ARI,6,1.5142857142857142
QUE,7,1.225
HAL,8,0.9775280898876404
ZOT,9,0.8765432098765432
SER,10,0.7087378640776699
ZIP,11,0.584070796460177
PBO,12,0.5663716814159292
ASE,13,0.5128205128205128
LUR,14,0.475
CPZ,15,0.41379310344827586
ILO,16,0.3333333333333333
