treatments,agg_ranks,score
CLO,1,0.1187479202632153
AMI,2,0.10349173329591758
OLA,3,0.08433850596111758
PAL,4,0.07333197402592523
RIS,5,0.07250792999496236
ARI,6,0.06983834649735202
QUE,7,0.06041068912921324
HAL,8,0.05560960288920419
PBO,9,0.05379196597960059
ASE,10,0.048087045454767954
ZOT,11,0.0469164431439285
ZIP,12,0.04677577947365713
SER,13,0.0465558779244395
LUR,14,0.04636794963234046
ILO,15,0.03850855865688559
CPZ,16,0.03471967767747278
